T. Perdido  D. Perdidas  D. Ruido  ID swap  nBalls  <20%  20%80%  >80% Recall Precision   MOTA   MOTP
3           7           49         3        0       3     0       0     3 94.86%    99.67% 94.55% 70.41%
3           7           49         3        0       3     0       0     3 94.86%    99.67% 94.55% 70.41%
3           7           49         2        0       3     0       0     3 94.86%    99.78% 94.65% 70.41%
3           7           49         2        0       3     0       0     3 94.86%    99.78% 94.65% 70.41%
3           7           49         2        0       3     0       0     3 94.86%    99.78% 94.65% 70.41%
3           7           49         2        0       3     0       0     3 94.86%    99.78% 94.65% 70.41%
3           7           49         2        0       3     0       0     3 94.86%    99.78% 94.65% 70.41%
3           7           49         2        0       3     0       0     3 94.86%    99.78% 94.65% 70.41%
3           7           49         2        0       3     0       0     3 94.86%    99.78% 94.65% 70.41%
3           9           51         2        0       3     0       0     3 94.65%    99.78% 94.44% 70.43%
3          10           52         2        0       3     0       0     3 94.55%    99.78% 94.34% 70.43%
3          11           53         2        0       3     0       0     3 94.44%    99.78% 94.23% 70.41%
3          11           53         2        0       3     0       0     3 94.44%    99.78% 94.23% 70.41%
3          11           54         2        0       3     0       0     3 94.34%    99.78% 94.13% 70.44%
3          12           55         2        0       3     0       0     3 94.23%    99.78% 94.03% 70.43%
3          13           56         2        0       3     0       0     3 94.13%    99.78% 93.92% 70.44%
3          14           57         2        0       3     0       0     3 94.03%    99.78% 93.82% 70.42%
3          16           59         2        0       3     0       0     3 93.82%    99.78% 93.61% 70.38%
3          16           59         2        0       3     0       0     3 93.82%    99.78% 93.61% 70.38%
3          17           61         2        0       3     0       0     3 93.61%    99.78% 93.40% 70.41%
3          17           62         1        0       3     0       0     3 93.50%    99.89% 93.40% 70.44%
3          18           63         1        0       3     0       0     3 93.40%    99.89% 93.29% 70.43%
3          19           64         1        0       3     0       0     3 93.29%    99.89% 93.19% 70.44%
3          19           64         1        0       3     0       0     3 93.29%    99.89% 93.19% 70.44%
3          19           64         1        0       3     0       0     3 93.29%    99.89% 93.19% 70.44%
3          19           64         1        0       3     0       0     3 93.29%    99.89% 93.19% 70.44%
3          19           64         1        0       3     0       0     3 93.29%    99.89% 93.19% 70.44%
3          20           65         1        0       3     0       0     3 93.19%    99.89% 93.08% 70.42%
3          23           69         3        0       3     0       0     3 92.77%    99.66% 92.45% 70.42%
